rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
25,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",12,16,9,"252529"
26,"spotify:track:0McNg79tsCnzI54mfJVxNZ","MøkkaFønk","2007 (Fontana)","2025 Fristil Records",26,-1,1,"240701"
27,"spotify:track:3B2ZpJeewPvhAkjXtTkdtJ","Tate McRae","NOBODY'S GIRL","RCA Records Label",27,-1,1,"235574"
28,"spotify:track:5kBLY1qUXU2RVWtkil2Thh","ULD","Jeg skal finne deg","Air Time",17,28,10,"228412"
29,"spotify:track:771dXT0ppsiSU8frVIDWJL","Ylva","Maskulin","Ylva",1,17,20,"226619"
30,"spotify:track:27qAMKrDdKEs8HDXcvR24R","Chris Rea","Driving Home for Christmas - 2019 Remaster","Rhino",5,56,59,"224991"
31,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",5,15,18,"224243"
32,"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock","Geffen",9,47,55,"222885"
33,"spotify:track:3JKnwr5Wf6z3ULEqwjphM2","Ari Bajgora","Dopamin","Distortion Label",14,20,7,"215438"
34,"spotify:track:2HrQbrT7N3VcV3PmZIy9Wq","Emma Steinbakken, Synne Vo","Alle vil til himmelen","Emma Steinbakken",3,21,26,"212569"
35,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",12,22,38,"209004"
36,"spotify:track:5aasUgkPxYhqKcxmNLotmH","Anne Grete Preus","Når himmelen faller ned","WM Norway",14,60,41,"208610"
37,"spotify:track:1JEiQDe1vXIpmLitiB6JQk","Emma Steinbakken","Himmel på jord","Emma Steinbakken",21,64,8,"205855"
38,"spotify:track:2UWCCJ47QZvrK5dPjJg6d3","Inge Bremnes","Mot lys (fra Snøfall)","Drabant Music",20,74,14,"205073"
39,"spotify:track:5iw7PzTQdsg2FVhR14cgGw","Tobias Sten","Eli","Universal Music AS",5,26,35,"202820"
40,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",40,61,21,"202185"
41,"spotify:track:0zCU35nRISaqZqlUXNEL5Z","Kurt Nilsen, The Norwegian Radio Orchestra","Stjernesludd","Lord Records",16,62,56,"198458"
42,"spotify:track:3VTNVsTTu05dmTsVFrmGpK","The Pogues, Kirsty MacColl","Fairytale of New York (feat. Kirsty MacColl)","WM UK",8,68,56,"196701"
43,"spotify:track:59GOf2vvt1WFPzsvQDhVUw","emma","Engler i sne","RCA Records Label",35,71,50,"194256"
44,"spotify:track:14AJI1RloVWTh8bJe9gBPM","Petra Marklund","Händerna mot himlen","Razzia",27,27,92,"194156"
45,"spotify:track:3eR6Hc3POZkClqpCsUy0qL","Tobias Sten, Synne Vo","Ingen her e deg","Universal Music AS",1,25,15,"193240"
46,"spotify:track:4jImfl3tXqF41rcTElShrM","Emma Steinbakken","Stjernesludd","Emma Steinbakken",24,70,8,"184335"
47,"spotify:track:4SxcFcdTrSpYPvANjtdlWY","Odd Nordstoga","Svingensongen","Universal Music AS",35,81,44,"181306"
