rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
191,"spotify:track:20lUjyfg5xXXl87VHtiOFi","Samuli Putro","Olet puolisoni nyt","WM Finland",81,-1,42,"54901"
192,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",60,131,18,"54860"
193,"spotify:track:4wj5L26lcaUtrEepdP6sJt","Tupe.","Mörkö","WM Finland",38,106,4,"54827"
194,"spotify:track:7JggREE5FDV96NUkGpyz8Y","Cheek","Mitä tänne jää","Universal Music Oy",80,182,8,"54708"
195,"spotify:track:5esJb63Nbi1LeG0v4NyKTt","Egotrippi","Matkustaja","Zen Garden",62,171,198,"54644"
196,"spotify:track:6wspZiK5qqoX0HL6zYX4CQ","Averagekidluke","Mitä meist jää","WM Finland",3,194,39,"54474"
197,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",197,-1,1,"54339"
198,"spotify:track:6Sgm8FkveMWMOKExKX0Q46","Mirella","Painava sydän","Universal Music Oy",6,-1,26,"54296"
199,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",88,162,28,"54094"
200,"spotify:track:3x0Z2IBTRMOHEuEQYIHnhW","KERZA","Made it","WM Finland",56,56,2,"53990"
